,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
433,Rhode Island School of Design,Rhode Island,RI,Private,4 Year,13400.0,50960,64360,50960,64360,4,Rhode-Island,55500,100600,39.0,0
434,Rhodes College,Tennessee,TN,Private,4 Year,11403.0,47890,59293,47890,59293,2,Tennessee,51900,97800,46.0,25
435,Rice University,Texas,TX,Private,4 Year,14000.0,47350,61350,47350,61350,1,Texas,71000,129500,50.0,45
436,Rider University,New Jersey,NJ,Private,4 Year,14700.0,41310,56010,41310,56010,8,New-Jersey,51600,99000,47.0,5
437,Ripon College,Wisconsin,WI,Private,4 Year,8400.0,43808,52208,43808,52208,10,Wisconsin,46300,89600,60.0,26
438,Rivier University,New Hampshire,NH,Private,4 Year,12526.0,31790,44316,31790,44316,8,New-Hampshire,49500,85100,58.0,41
439,Roanoke College,Virginia,VA,Private,4 Year,13690.0,44030,57720,44030,57720,20,Virginia,48500,85100,53.0,18
440,Rockhurst University,Missouri,MO,Private,4 Year,10200.0,37590,47790,37590,47790,7,Missouri,54000,92500,59.0,11
441,Rocky Mountain College,Montana,MT,Private,4 Year,8330.0,28512,36842,28512,36842,5,Montana,46000,82900,59.0,12
442,Roger Williams University,Rhode Island,RI,Private,4 Year,15890.0,34522,50412,34522,50412,8,Rhode-Island,52900,92700,48.0,12
443,Rogers State University,Oklahoma,OK,Public,4 Year,8616.0,6870,15486,15210,23826,22,Oklahoma,41400,73800,48.0,11
444,Rollins College,Florida,FL,Private,4 Year,14735.0,49760,64495,49760,64495,18,Florida,49000,87000,53.0,7
445,Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,14766.0,49871,64637,49871,64637,1,Indiana,75000,135800,51.0,96
446,Rowan University,New Jersey,NJ,Public,4 Year,12552.0,13697,26249,22339,34891,20,New-Jersey,51100,91200,43.0,21
448,Rust College,Mississippi,MS,Private,4 Year,4300.0,9900,14200,9900,14200,13,Mississippi,34800,62400,76.0,32
449,Sacred Heart University,Connecticut,CT,Private,4 Year,15310.0,41420,56730,41420,56730,9,Connecticut,55000,100500,46.0,15
450,Saginaw Valley State University,Michigan,MI,Public,4 Year,10186.0,10308,20494,24215,34401,25,Michigan,46400,82200,54.0,12
451,Saint Anselm College,New Hampshire,NH,Private,4 Year,14500.0,41200,55700,41200,55700,2,New-Hampshire,56400,100300,59.0,11
452,Saint Cloud State University,Minnesota,MN,Public,4 Year,8900.0,8912,17812,17146,26046,11,Minnesota,51600,91600,50.0,15
453,Saint Joseph's College of Maine,Maine,ME,Private,4 Year,13680.0,35650,49330,35650,49330,7,Maine,46900,84300,60.0,2
454,Saint Joseph's University,Pennsylvania,PA,Private,4 Year,14840.0,44973,59813,44973,59813,14,Pennsylvania,57300,105100,41.0,6
455,Saint Louis University,Missouri,MO,Private,4 Year,12290.0,43884,56174,43884,56174,4,Missouri,54200,95300,56.0,13
456,Saint Martin's University,Washington,WA,Private,4 Year,11445.0,37356,48801,37356,48801,15,Washington,53200,91800,60.0,29
457,Saint Mary's College,Indiana,IN,Private,4 Year,12580.0,42220,54800,42220,54800,12,Indiana,49700,89300,54.0,15
458,Saint Mary's College of California,California,CA,Private,4 Year,15370.0,47280,62650,47280,62650,21,California,59900,110800,51.0,5
459,Saint Michael's College,Vermont,VT,Private,4 Year,12220.0,45375,57595,45375,57595,4,Vermont,52900,98500,40.0,18
460,Saint Peter's University,New Jersey,NJ,Private,4 Year,15414.0,37486,52900,37486,52900,12,New-Jersey,52900,95900,35.0,14
